,#EventID,Time,Latitude,Longitude,Depth/km,Author,Catalog,Contributor,ContributorID,MagType,Magnitude,MagAuthor,EventLocationName,EventType
1250,gfz2025pyuu,2025-08-16T00:47:54.58,51.966,-169.863,10.0,,,GFZ,gfz2025pyuu,mb,4.68,,"Fox Islands, Aleutian Islands",
1251,gfz2025pytw,2025-08-16T00:20:41.18,53.416,158.029,22.0,,,GFZ,gfz2025pytw,mb,4.88,,Near East Coast of Kamchatka,
1252,gfz2025pysw,2025-08-15T23:49:26.66,-26.242,152.092,13.9,,,GFZ,gfz2025pysw,Mw,4.98,,Near East Coast of Australia,
1253,gfz2025pyqd,2025-08-15T22:26:39.9,-31.905,-68.286,105.2,,,GFZ,gfz2025pyqd,mb,4.46,,"San Juan Province, Argentina",
1254,gfz2025pyps,2025-08-15T22:14:00.95,52.423,159.539,59.4,,,GFZ,gfz2025pyps,mb,4.75,,Off East Coast of Kamchatka,
1255,gfz2025pymg,2025-08-15T20:29:15.19,-18.257,-69.652,140.1,,,GFZ,gfz2025pymg,mb,4.59,,Northern Chile,
1256,gfz2025pylk,2025-08-15T20:03:18.06,36.826,134.829,391.1,,,GFZ,gfz2025pylk,mb,4.24,,Sea of Japan,
1257,gfz2025pyjn,2025-08-15T19:06:48.69,49.82,155.142,30.0,,,GFZ,gfz2025pyjn,mb,4.75,,Kuril Islands,
1258,gfz2025pyjc,2025-08-15T18:54:04.31,49.841,158.786,10.0,,,GFZ,gfz2025pyjc,mb,4.83,,East of Kuril Islands,
1259,gfz2025pydb,2025-08-15T15:50:18.46,45.705,153.947,10.0,,,GFZ,gfz2025pydb,Mw,5.14,,East of Kuril Islands,
1260,gfz2025pyab,2025-08-15T14:20:01.93,51.824,160.021,28.0,,,GFZ,gfz2025pyab,mb,4.81,,Off East Coast of Kamchatka,
1261,gfz2025pxtb,2025-08-15T10:47:49.2,51.503,9.338,0.0,,,GFZ,gfz2025pxtb,M,2.04,,Germany,quarry blast
1262,gfz2025pxrw,2025-08-15T10:11:52.21,52.876,159.688,39.6,,,GFZ,gfz2025pxrw,Mw,5.68,,Off East Coast of Kamchatka,
1263,gfz2025pxma,2025-08-15T07:14:32.02,-65.14,178.017,10.0,,,GFZ,gfz2025pxma,mb,5.2,,Balleny Islands Region,
1264,gfz2025pxkr,2025-08-15T06:34:05.69,35.338,-36.537,10.0,,,GFZ,gfz2025pxkr,mb,4.66,,Northern Mid-Atlantic Ridge,
1265,gfz2025pxkm,2025-08-15T06:27:46.8,51.757,159.238,36.5,,,GFZ,gfz2025pxkm,mb,4.77,,Off East Coast of Kamchatka,
1266,gfz2025pxil,2025-08-15T05:25:22.42,51.729,158.83,21.6,,,GFZ,gfz2025pxil,mb,4.94,,Near East Coast of Kamchatka,
1267,gfz2025pxcp,2025-08-15T02:28:38.99,-2.108,120.884,10.0,,,GFZ,gfz2025pxcp,mb,4.64,,"Sulawesi, Indonesia",
1268,gfz2025pxcd,2025-08-15T02:14:26.82,52.394,157.927,52.4,,,GFZ,gfz2025pxcd,mb,4.62,,"Kamchatka Peninsula, Russia",
1269,gfz2025pxbl,2025-08-15T01:53:15.14,52.692,159.876,67.2,,,GFZ,gfz2025pxbl,mb,4.58,,Off East Coast of Kamchatka,
